,Ab_Debris,Ab_Others,Ab_CD3-CD16-CD19-,Ab_CD3+CD4-CD8-,Ab_CD3+CD4+CD8-,Ab_CD3+CD4-CD8+,Ab_CD3+CD4+CD8+,Ab_CD3-CD16+CD56+,Ab_CD3+CD16+CD56+,Ab_CD3-CD19+,Lymph Events,CD3+,CD3+CD4+,CD3+CD8+,CD3+CD4+CD8+,CD3-,CD16+CD56,CD19+,%T-sum,CD4/CD8 Ratio,LymphSum
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/lymphSet_6C_B__WB-Samples-WB1_Unmixed,3.80163893,72.07907408999999,0.0,2.0444369399999998,10.75441413,5.93055673,0.19430598999999998,2.9399341,0.0,2.30632762,0.24,78.26,44.48,24.53,0.8,0.0,12.16,9.54,7.65,1.81,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/01/lymphSet_6C_B__WB-Samples-WB2_Unmixed,3.9189189200000003,71.40202703,0.0,0.25337837999999996,10.81081081,7.85472973,0.12668918999999998,1.1402027000000001,0.0,4.49324324,0.25,77.14,43.79,31.81,0.51,0.0,4.62,18.2,0.52,1.38,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/6CB_CD4_L_37C_3D_1,2.45349151,80.79805878,0.0,1.04610407,2.28093826,6.724184419999999,0.03774602,2.60986789,0.0,4.04960906,0.17,60.2,13.61,40.12,0.23,0.0,15.57,24.16,6.01,0.34,99.93
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190827_1_Lot_1,11.27851916,58.18215362,0.0,1.55586987,13.732242789999999,8.049935430000001,0.14144272,3.53606789,0.0,3.5237685300000003,0.31,76.86,44.95,26.35,0.46,0.0,11.57,11.53,4.64,1.71,99.96
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190829_1_BD,15.18605633,55.991797840000004,0.0,1.37506785,12.7555636,7.35178819,0.5850069400000001,3.12405766,0.0,3.6306616,0.29,76.54,44.24,25.5,2.03,0.0,10.84,12.59,2.74,1.73,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190829_1_Lot1,4.06323408,64.40226017,0.0,1.49831757,14.56415466,7.93600406,0.1904641,3.2950288899999998,0.0,4.05053647,0.32,76.68,46.17,25.16,0.6,0.0,10.45,12.84,4.15,1.84,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190829_1_Lot2,5.62020154,64.23944338000001,0.0,1.1216410700000001,14.03550864,7.6295585400000006,0.1859405,3.64683301,0.0,3.52087332,0.3,76.19,46.55,25.31,0.62,0.0,12.1,11.68,3.09,1.84,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190829_1_Lot3,3.7764752899999996,63.04116158000001,0.0,1.3387505,15.405621420000001,8.46543226,0.15319036,3.6166244799999996,0.0,4.20274411,0.33,76.41,46.41,25.5,0.46,0.0,10.9,12.66,3.58,1.82,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190829_1_Lot_1,20.927664269999998,52.31363887,0.0,1.06018774,11.65102154,6.709000549999999,0.94422971,2.95969078,0.0,3.4345665400000005,0.27,76.08,43.52,25.06,3.53,0.0,11.06,12.83,0.44,1.74,99.97
/home/zhanglu2/Documents/warehouse/CYTEK/TBNK/02/Streck_20190829_1_Lot_2,22.027421890000003,51.80939537,0.0,1.72510677,12.39604405,5.72600584,0.12362329,2.69161609,0.0,3.5007866899999995,0.26,76.3,47.36,21.88,0.47,0.0,10.28,13.38,6.12,2.16,99.96
